par_state,par_county,kid_race,par_pctile,shrunk_xkid_brcbalance2020,county_name
1,39,Hispanic,75,5421,Covington
1,39,Asian,-9,5717,Covington
1,39,AIAN,-9,5006.5,Covington
1,39,Hispanic,-9,4295.5,Covington
1,39,White,75,5274,Covington
1,39,White,50,4474.5,Covington
1,39,AIAN,25,2484,Covington
1,39,Asian,25,5282,Covington
1,39,Hispanic,25,3170,Covington
1,39,Black,-9,2174.428571428572,Covington
1,39,White,25,3675,Covington
1,39,Asian,50,5717,Covington
1,41,White,75,4827,Crenshaw
1,41,White,25,3380,Crenshaw
1,41,Black,75,1997,Crenshaw
1,41,Pooled,50,3566.170454545454,Crenshaw
1,41,Black,50,1893.5,Crenshaw
1,41,Black,25,1790,Crenshaw
1,41,Pooled,75,4312.454545454545,Crenshaw
1,41,White,50,4103.5,Crenshaw
1,41,Black,-9,1832.461538461539,Crenshaw
1,41,Pooled,25,2819.886363636364,Crenshaw
1,41,White,-9,3940.129032258064,Crenshaw
1,41,Pooled,-9,3317.409090909091,Crenshaw
1,43,Pooled,50,3655.699599216605,Cullman
1,43,White,50,3639.5,Cullman
1,43,Hispanic,50,4258.5,Cullman
1,43,Hispanic,75,5996,Cullman
1,43,Pooled,75,4724.074695121952,Cullman
1,43,White,25,2577,Cullman
1,43,Asian,25,4385,Cullman
1,43,AIAN,-9,3213.5,Cullman
1,43,Black,75,3693,Cullman
1,43,Asian,50,5162.5,Cullman
1,43,Pooled,-9,3484.704865556978,Cullman
1,43,AIAN,75,4630,Cullman
1,43,AIAN,25,1797,Cullman
1,43,Pooled,25,2587.324503311258,Cullman
1,43,Asian,75,5940,Cullman
1,43,Black,25,2771,Cullman
1,43,Hispanic,25,2521,Cullman
1,43,Black,50,3232,Cullman
1,43,White,75,4702,Cullman
1,43,Asian,-9,5162.5,Cullman
1,43,AIAN,50,3213.5,Cullman
1,43,Hispanic,-9,4258.5,Cullman
1,43,White,-9,3461.228187919463,Cullman
1,43,Black,-9,3232,Cullman
1,45,White,75,5969,Dale
1,45,Asian,50,8089,Dale
1,45,Black,75,5310,Dale
1,45,White,25,3902,Dale
1,45,Asian,25,6232,Dale
1,45,Pooled,75,5937.661426844014,Dale
1,45,Black,50,3861,Dale
1,45,AIAN,-9,4326.5,Dale
1,45,Black,25,2412,Dale
1,45,Hispanic,-9,4839.946428571428,Dale
1,45,AIAN,25,3356,Dale
1,45,Hispanic,50,5029.5,Dale
1,45,Asian,75,9946,Dale
1,45,White,50,4935.5,Dale
1,45,AIAN,75,5297,Dale
1,45,Asian,-9,8089,Dale
1,45,AIAN,50,4326.5,Dale
1,45,Pooled,50,4701.833894758169,Dale
1,45,Hispanic,75,6091,Dale
1,45,Pooled,-9,4620.841807909605,Dale
1,45,Pooled,25,3466.006362672322,Dale
1,45,Black,-9,3121.40625,Dale
1,45,White,-9,5018.846774193548,Dale
1,45,Hispanic,25,3968,Dale
1,47,Asian,50,6296.5,Dallas
1,47,Hispanic,75,9063,Dallas
1,47,White,75,5411,Dallas
1,47,White,25,3585,Dallas
1,47,Hispanic,50,5639.5,Dallas
1,47,Black,-9,2301.588235294118,Dallas
1,47,Asian,-9,6296.5,Dallas
1,47,Asian,25,5865,Dallas
1,47,Black,25,2097,Dallas
1,47,Pooled,75,5146.700534759359,Dallas
1,47,Pooled,50,3803.037334354275,Dallas
1,47,Black,50,2966.5,Dallas
1,47,White,50,4498,Dallas
1,47,Pooled,25,2459.374133949192,Dallas
1,47,Hispanic,25,2216,Dallas
1,47,White,-9,4656.782608695652,Dallas
1,47,Hispanic,-9,5639.5,Dallas
1,47,Asian,75,6728,Dallas
1,47,Black,75,3836,Dallas
1,47,Pooled,-9,3269.906451612903,Dallas
1,49,White,75,5070,DeKalb
1,49,Black,25,1901,DeKalb
1,49,Pooled,25,2985.120879120879,DeKalb
1,49,White,50,4035.5,DeKalb
1,49,White,25,3001,DeKalb
1,49,Black,75,5152,DeKalb
1,49,Hispanic,50,3258.5,DeKalb
1,49,AIAN,75,5463,DeKalb
1,49,Pooled,50,4028.493316272768,DeKalb
1,49,Pooled,75,5071.865753424658,DeKalb
1,49,Black,-9,3526.5,DeKalb
1,49,Pooled,-9,3745.2624750499,DeKalb
1,49,Hispanic,75,4145,DeKalb
1,49,Asian,25,4721,DeKalb
1,49,AIAN,25,2925,DeKalb
1,49,Asian,-9,5336.5,DeKalb
1,49,Black,50,3526.5,DeKalb
1,49,Hispanic,-9,2945.617647058823,DeKalb
1,49,AIAN,-9,4194,DeKalb
1,49,Hispanic,25,2372,DeKalb
1,49,Asian,50,5336.5,DeKalb
1,49,AIAN,50,4194,DeKalb
1,49,White,-9,3743.141304347826,DeKalb
1,49,Asian,75,5952,DeKalb
1,51,Black,25,1661,Elmore
1,51,AIAN,75,4854,Elmore
1,51,Hispanic,25,2457,Elmore
1,51,White,50,3880.5,Elmore
1,51,AIAN,25,2286,Elmore
1,51,Hispanic,-9,3752,Elmore
1,51,Asian,25,3963,Elmore
1,51,Asian,50,4779.5,Elmore
1,51,Pooled,-9,3572.562728380025,Elmore
1,51,White,25,3123,Elmore
1,51,White,75,4638,Elmore
1,51,Hispanic,75,5047,Elmore
1,51,Hispanic,50,3752,Elmore
1,51,Pooled,50,3639.030077283669,Elmore
1,51,Black,75,3779,Elmore
1,51,AIAN,50,3570,Elmore
1,51,Asian,-9,4779.5,Elmore
1,51,Black,-9,1922.311688311688,Elmore
1,51,Asian,75,5596,Elmore
1,51,AIAN,-9,3570,Elmore
1,51,Black,50,2720,Elmore
1,51,White,-9,3951.515625,Elmore
1,51,Pooled,75,4613.488888888889,Elmore
1,51,Pooled,25,2664.571265678449,Elmore
1,53,Pooled,-9,3559.885365853659,Escambia
1,53,Black,75,3561,Escambia
1,53,White,-9,4105.173076923077,Escambia
1,53,White,75,5539,Escambia
1,53,AIAN,25,2670,Escambia
1,53,Asian,-9,6430,Escambia
1,53,Pooled,75,5403.745454545455,Escambia
1,53,Pooled,25,2629.497247706422,Escambia
1,53,Asian,50,6430,Escambia
1,53,AIAN,-9,4327,Escambia
1,53,Hispanic,-9,2845,Escambia
1,53,Hispanic,25,2104,Escambia
1,53,AIAN,50,4327,Escambia
1,53,Pooled,50,4016.621351125938,Escambia
1,53,Asian,25,5573,Escambia
1,53,White,25,2968,Escambia
1,53,Asian,75,7287,Escambia
1,53,Hispanic,75,3586,Escambia
1,53,Black,25,2117,Escambia
1,53,Black,50,2839,Escambia
1,53,Hispanic,50,2845,Escambia
1,53,AIAN,75,5984,Escambia
1,53,Black,-9,2232.52,Escambia
1,53,White,50,4253.5,Escambia
1,55,White,75,4606,Etowah
1,55,Hispanic,25,2594,Etowah
1,55,Black,-9,2068.698564593301,Etowah
1,55,Asian,25,4346,Etowah
1,55,White,25,2573,Etowah
1,55,AIAN,50,6817,Etowah
1,55,Black,50,2567,Etowah
1,55,AIAN,25,4992,Etowah
1,55,White,-9,3456.020202020202,Etowah
1,55,Pooled,50,3483.856158286754,Etowah
1,55,White,50,3589.5,Etowah
1,55,Black,25,1772,Etowah
1,55,Asian,75,6223,Etowah
1,55,Hispanic,50,3638.5,Etowah
1,55,Pooled,25,2414.253164556962,Etowah
1,55,AIAN,-9,6817,Etowah
1,55,Hispanic,-9,3308.657894736842,Etowah
1,55,Hispanic,75,4683,Etowah
1,55,Pooled,-9,3252.426661264181,Etowah
1,55,Asian,50,5284.5,Etowah
1,55,Asian,-9,5284.5,Etowah
1,55,Pooled,75,4553.459152016546,Etowah
1,55,AIAN,75,8642,Etowah
1,55,Black,75,3362,Etowah
1,57,Black,75,3954,Fayette
1,57,Hispanic,75,4620,Fayette
1,57,White,75,5441,Fayette
1,57,Black,50,2953,Fayette
1,57,White,50,4044,Fayette
1,57,White,25,2647,Fayette
1,57,Hispanic,-9,3381.5,Fayette
1,57,Pooled,-9,3569.670658682635,Fayette
1,57,Pooled,75,5230.338461538461,Fayette
1,57,Pooled,50,3870.870211161387,Fayette
1,57,Pooled,25,2511.401960784314,Fayette
1,57,Black,-9,2535.916666666667,Fayette
1,57,Hispanic,25,2143,Fayette
1,57,Hispanic,50,3381.5,Fayette
1,57,Black,25,1952,Fayette
1,57,White,-9,3764.6,Fayette
1,59,Asian,75,10140,Franklin
1,59,Hispanic,50,4133,Franklin
1,59,White,50,3725,Franklin
1,59,Asian,50,7388.5,Franklin
1,59,Asian,25,4637,Franklin
1,59,White,75,4701,Franklin
1,59,Hispanic,-9,4133,Franklin
1,59,White,25,2749,Franklin
1,59,AIAN,25,3278,Franklin
1,59,Black,25,2127,Franklin
1,59,AIAN,75,4634,Franklin
1,59,Pooled,50,3867.097198744264,Franklin
1,59,White,-9,3506.625570776256,Franklin
1,59,AIAN,-9,3956,Franklin
1,59,Asian,-9,7388.5,Franklin
1,59,Hispanic,75,5650,Franklin
1,59,Pooled,75,4944.243902439024,Franklin
1,59,Black,-9,3269.5,Franklin
1,59,Pooled,25,2789.950495049505,Franklin
1,59,Pooled,-9,3659.301181102362,Franklin
1,59,AIAN,50,3956,Franklin
1,59,Black,75,4412,Franklin
1,59,Hispanic,25,2616,Franklin
1,59,Black,50,3269.5,Franklin
1,61,Hispanic,50,3903,Geneva
1,61,Pooled,50,4240.780031737636,Geneva
1,61,White,-9,3937.311965811966,Geneva
1,61,Black,-9,2472.181818181818,Geneva
1,61,Pooled,-9,3761.914965986395,Geneva
1,61,White,50,4354.5,Geneva
1,61,Hispanic,25,2423,Geneva
1,61,Hispanic,-9,3903,Geneva
1,61,White,75,5639,Geneva
1,61,AIAN,-9,5584,Geneva
1,61,Pooled,75,5594.494736842105,Geneva
1,61,Pooled,25,2887.065326633166,Geneva
1,61,AIAN,50,5584,Geneva
1,61,AIAN,25,3256,Geneva
1,61,White,25,3070,Geneva
1,61,Hispanic,75,5383,Geneva
1,61,AIAN,75,7912,Geneva
