FIPS,County,Social Capital and Community Score
38097,"Traill, North Dakota",45.40616222627384
51033,"Caroline, Virginia",45.34807127645967
12091,"Okaloosa, Florida",45.330799037182786
4013,"Maricopa, Arizona",45.317449222490914
33005,"Cheshire, New Hampshire",45.29161603745084
12085,"Martin, Florida",45.28430076180942
24043,"Washington, Maryland",45.25148342633835
29219,"Warren, Missouri",45.246727135712014
55059,"Kenosha, Wisconsin",45.223080478992934
10003,"New Castle, Delaware",45.20430330069212
42045,"Delaware, Pennsylvania",45.193913055134665
15007,"Kauai, Hawaii",45.17017334702684
48329,"Midland, Texas",45.16030860396039
48039,"Brazoria, Texas",45.12866487723621
8015,"Chaffee, Colorado",45.10663793239982
6037,"Los Angeles, California",45.1032156361878
20069,"Gray, Kansas",45.10072452034559
19011,"Benton, Iowa",45.092977099655144
41071,"Yamhill, Oregon",45.08473128261233
23023,"Sagadahoc, Maine",45.08274401154619
39045,"Fairfield, Ohio",45.078990208797656
40119,"Payne, Oklahoma",45.040774024248506
29049,"Clinton, Missouri",45.025939897812236
33003,"Carroll, New Hampshire",45.018877471486064
48425,"Somervell, Texas",45.006286597374306
48439,"Tarrant, Texas",45.002405892859024
31045,"Dawes, Nebraska",44.99972251623969
17097,"Lake, Illinois",44.99391474713638
56019,"Johnson, Wyoming",44.98527133728073
34023,"Middlesex, New Jersey",44.97847717103559
38045,"LaMoure, North Dakota",44.96973523050672
36071,"Orange, New York",44.9496798503012
17147,"Piatt, Illinois",44.93713083865951
51161,"Roanoke County, Virginia",44.92299386287456
16055,"Kootenai, Idaho",44.920107061601556
55097,"Portage, Wisconsin",44.9085996454151
27095,"Mille Lacs, Minnesota",44.906409871419015
2240,"Southeast Fairbanks, Alaska",44.8250754659295
51073,"Gloucester, Virginia",44.82198917304287
51115,"Mathews, Virginia",44.82051724499238
13145,"Harris, Georgia",44.81875913954547
56023,"Lincoln, Wyoming",44.7789636239764
36111,"Ulster, New York",44.72672024335187
31019,"Buffalo, Nebraska",44.692345457421204
29113,"Lincoln, Missouri",44.67422269771472
19059,"Dickinson, Iowa",44.65713243987706
37189,"Watauga, North Carolina",44.64477213553065
16027,"Canyon, Idaho",44.62277072993051
20051,"Ellis, Kansas",44.611475725081235
48257,"Kaufman, Texas",44.60103701050154
51023,"Botetourt, Virginia",44.588679552511636
29003,"Andrew, Missouri",44.56136244620295
46081,"Lawrence, South Dakota",44.54306502764236
36005,"Bronx, New York",44.53965488759744
55127,"Walworth, Wisconsin",44.5353505750792
27041,"Douglas, Minnesota",44.520202247514106
13063,"Clayton, Georgia",44.489976154660226
48359,"Oldham, Texas",44.4797429699769
16015,"Boise, Idaho",44.4707931968422
13013,"Barrow, Georgia",44.46950304639755
40083,"Logan, Oklahoma",44.4686838079254
51187,"Warren, Virginia",44.45237075574525
1117,"Shelby, Alabama",44.42134438792186
12115,"Sarasota, Florida",44.4178974953188
24047,"Worcester, Maryland",44.39510562117915
42001,"Adams, Pennsylvania",44.38900649515156
27145,"Stearns, Minnesota",44.361976346389234
56005,"Campbell, Wyoming",44.32107517349226
39133,"Portage, Ohio",44.313232104890275
16039,"Elmore, Idaho",44.29283540359731
20113,"McPherson, Kansas",44.25471353686133
41039,"Lane, Oregon",44.23450804920914
42019,"Butler, Pennsylvania",44.231956821588305
51650,"Hampton, Virginia",44.22028116196954
29510,"St. Louis City, Missouri",44.218983776333175
46099,"Minnehaha, South Dakota",44.2139738192539
6109,"Tuolumne, California",44.21327650528972
8049,"Grand, Colorado",44.16530215393942
38075,"Renville, North Dakota",44.162782120058104
49023,"Juab, Utah",44.0901902300849
47189,"Wilson, Tennessee",44.07217483258714
